Threshold,Scenario,OfferCost,Recall,Precision,F1,TP,FP,FN,TN,RevenueAtRisk,RetentionValue,CampaignCost,NetBenefit
0.3,Low,10,0.9973262032085561,0.3105745212323064,0.47365079365079366,373,828,1,207,27214.9,5428.426577540107,8280,-2851.5734224598928
0.3,Base,20,0.9973262032085561,0.3105745212323064,0.47365079365079366,373,828,1,207,27214.9,5428.426577540107,16560,-11131.573422459893
0.3,High,30,0.9973262032085561,0.3105745212323064,0.47365079365079366,373,828,1,207,27214.9,5428.426577540107,24840,-19411.573422459893
0.35,Low,10,0.9705882352941176,0.32238010657193605,0.484,363,763,11,272,27214.9,5282.892352941177,7630,-2347.107647058823
0.35,Base,20,0.9705882352941176,0.32238010657193605,0.484,363,763,11,272,27214.9,5282.892352941177,15260,-9977.107647058823
0.35,High,30,0.9705882352941176,0.32238010657193605,0.484,363,763,11,272,27214.9,5282.892352941177,22890,-17607.107647058823
0.39999999999999997,Low,10,0.9278074866310161,0.35121457489878544,0.5095447870778267,347,641,27,394,27214.9,5050.037593582888,6410,-1359.962406417112
0.39999999999999997,Base,20,0.9278074866310161,0.35121457489878544,0.5095447870778267,347,641,27,394,27214.9,5050.037593582888,12820,-7769.962406417112
0.39999999999999997,High,30,0.9278074866310161,0.35121457489878544,0.5095447870778267,347,641,27,394,27214.9,5050.037593582888,19230,-14179.962406417111
0.44999999999999996,Low,10,0.8957219251336899,0.4105392156862745,0.5630252100840336,335,481,39,554,27214.9,4875.396524064171,4810,65.39652406417099
0.44999999999999996,Base,20,0.8957219251336899,0.4105392156862745,0.5630252100840336,335,481,39,554,27214.9,4875.396524064171,9620,-4744.603475935829
0.44999999999999996,High,30,0.8957219251336899,0.4105392156862745,0.5630252100840336,335,481,39,554,27214.9,4875.396524064171,14430,-9554.60347593583
0.49999999999999994,Low,10,0.7967914438502673,0.47527910685805425,0.5954045954045954,298,329,76,706,27214.9,4336.919893048128,3290,1046.919893048128
0.49999999999999994,Base,20,0.7967914438502673,0.47527910685805425,0.5954045954045954,298,329,76,706,27214.9,4336.919893048128,6580,-2243.080106951872
0.49999999999999994,High,30,0.7967914438502673,0.47527910685805425,0.5954045954045954,298,329,76,706,27214.9,4336.919893048128,9870,-5533.080106951872
0.5499999999999999,Low,10,0.5855614973262032,0.5793650793650794,0.5824468085106383,219,159,155,876,27214.9,3187.1995187165776,1590,1597.1995187165776
0.5499999999999999,Base,20,0.5855614973262032,0.5793650793650794,0.5824468085106383,219,159,155,876,27214.9,3187.1995187165776,3180,7.199518716577586
0.5499999999999999,High,30,0.5855614973262032,0.5793650793650794,0.5824468085106383,219,159,155,876,27214.9,3187.1995187165776,4770,-1582.8004812834224
0.5999999999999999,Low,10,0.25668449197860965,0.6956521739130435,0.375,96,42,278,993,27214.9,1397.1285561497327,420,977.1285561497327
0.5999999999999999,Base,20,0.25668449197860965,0.6956521739130435,0.375,96,42,278,993,27214.9,1397.1285561497327,840,557.1285561497327
0.5999999999999999,High,30,0.25668449197860965,0.6956521739130435,0.375,96,42,278,993,27214.9,1397.1285561497327,1260,137.12855614973273
0.6499999999999999,Low,10,0.016042780748663103,0.8571428571428571,0.031496062992125984,6,1,368,1034,27214.9,87.3205347593583,10,77.3205347593583
0.6499999999999999,Base,20,0.016042780748663103,0.8571428571428571,0.031496062992125984,6,1,368,1034,27214.9,87.3205347593583,20,67.3205347593583
0.6499999999999999,High,30,0.016042780748663103,0.8571428571428571,0.031496062992125984,6,1,368,1034,27214.9,87.3205347593583,30,57.320534759358296
0.7,Low,10,0.0,0.0,0.0,0,0,374,1035,27214.9,0.0,0,0.0
0.7,Base,20,0.0,0.0,0.0,0,0,374,1035,27214.9,0.0,0,0.0
0.7,High,30,0.0,0.0,0.0,0,0,374,1035,27214.9,0.0,0,0.0
0.7499999999999999,Low,10,0.0,0.0,0.0,0,0,374,1035,27214.9,0.0,0,0.0
0.7499999999999999,Base,20,0.0,0.0,0.0,0,0,374,1035,27214.9,0.0,0,0.0
0.7499999999999999,High,30,0.0,0.0,0.0,0,0,374,1035,27214.9,0.0,0,0.0
0.7999999999999998,Low,10,0.0,0.0,0.0,0,0,374,1035,27214.9,0.0,0,0.0
0.7999999999999998,Base,20,0.0,0.0,0.0,0,0,374,1035,27214.9,0.0,0,0.0
0.7999999999999998,High,30,0.0,0.0,0.0,0,0,374,1035,27214.9,0.0,0,0.0
